date,text,link
2018-06-21 16:03,Independent clarinet teacher,https://london.craigslist.co.uk/edu/d/independent-clarinet-teacher/6622861427.html
2018-06-21 15:43,Independent Guitar teacher,https://london.craigslist.co.uk/edu/d/independent-guitar-teacher/6622850196.html
2018-06-21 05:04,English teacher needed in Tianjin (Free apartment + Working visa),https://london.craigslist.co.uk/edu/d/english-teacher-needed-in/6622654820.html
2018-06-21 01:22,ENGLISH teachers needed in CHINA !!!,https://london.craigslist.co.uk/edu/d/english-teachers-needed-in/6603898997.html
2018-06-18 06:14,Locals with knowledge of London needed!,https://london.craigslist.co.uk/edu/d/locals-with-knowledge-of/6619793502.html
2018-06-15 17:32,"English Teachers in Popayán, Colombia",https://london.craigslist.co.uk/edu/d/english-teachers-in-popayn/6596962967.html
2018-06-15 10:41,Teaching english at paradise,https://london.craigslist.co.uk/edu/d/teaching-english-at-paradise/6617830797.html
2018-06-12 21:31,International English Teachers (relocate to China),https://london.craigslist.co.uk/edu/d/international-english/6615318256.html
2018-06-12 12:57,English Teaching Vacancies EFL / ESL / TESOL,https://london.craigslist.co.uk/edu/d/english-teaching-vacancies/6615187829.html
2018-06-11 18:58,Teaching in China,https://london.craigslist.co.uk/edu/d/teaching-in-china/6614152655.html
2018-06-08 08:27,Online English Teacher (remote),https://london.craigslist.co.uk/edu/d/online-english-teacher-remote/6611186756.html
2018-06-07 07:22,English Teachers Wanted In Thailand,https://london.craigslist.co.uk/edu/d/english-teachers-wanted-in/6610250273.html
2018-06-06 21:16,Economics tutor willing to talk out essay in exam over microphone,https://london.craigslist.co.uk/edu/d/economics-tutor-willing-to/6609868739.html
2018-06-05 20:30,Student Travel England Country Director,https://london.craigslist.co.uk/edu/d/student-travel-england/6608844585.html
2018-06-04 11:34,Brazilian Portuguese language teacher needed in London,https://london.craigslist.co.uk/edu/d/brazilian-portuguese-language/6607369175.html
2018-06-04 02:51,Kindergarten Teacher,https://london.craigslist.co.uk/edu/d/kindergarten-teacher/6598487647.html
2018-06-03 11:08,ESL teacher needed in the Vietnamese countryside,https://london.craigslist.co.uk/edu/d/esl-teacher-needed-in-the/6606576162.html
2018-06-02 12:15,Make over £750 a month teaching English + Bonuses (PT),https://london.craigslist.co.uk/edu/d/make-over-750-month-teaching/6605737424.html
2018-07-10 04:14,ESL teacher in Cinostar(Beijing/Shanghai/Hangzhou) (China),https://essex.craigslist.co.uk/edu/d/esl-teacher-in/6614759521.html
2018-07-09 13:14,URGENT - SKEGNESS/BOSTON TEFL/English teachers needed for July roles,https://essex.craigslist.co.uk/edu/d/urgent-skegness-boston-tefl/6638246524.html
2018-07-06 04:09,"Public Primary School,September 1st",https://essex.craigslist.co.uk/edu/d/public-primary/6635626342.html
2018-06-29 17:29,Polish language teacher needed in Chelmsford,https://essex.craigslist.co.uk/edu/d/polish-language-teacher/6630201595.html
2018-06-28 23:48,Maths tutor KS2 up to KS5,https://essex.craigslist.co.uk/edu/d/maths-tutor-ks2-up-to-ks5/6629686305.html
2018-06-19 09:33,Maths/Physics tutor for GCSE level,https://essex.craigslist.co.uk/edu/d/maths-physics-tutor-for-gcse/6620982574.html
2018-06-03 19:37,Kindergarten Teacher,https://essex.craigslist.co.uk/edu/d/kindergarten-teacher/6596645350.html
2018-07-05 14:24,URGENT - SKEGNESS/BOSTON TEFL/English teachers needed for July roles,https://kent.craigslist.co.uk/edu/d/urgent-skegness-boston-tefl/6634809241.html
2018-06-04 02:47,Kindergarten Teacher,https://kent.craigslist.co.uk/edu/d/kindergarten-teacher/6598455672.html
2018-07-05 05:53,URGENT - SKEGNESS/BOSTON TEFL/English teachers needed for July roles,https://brighton.craigslist.co.uk/edu/d/urgent-skegness-boston-tefl/6634793312.html
2018-06-21 08:21,Spanish language teacher needed in Rustington,https://brighton.craigslist.co.uk/edu/d/spanish-language-teacher/6622839811.html
2018-06-19 19:58,Swahili language teacher needed in Brighton,https://brighton.craigslist.co.uk/edu/d/swahili-language-teacher/6621276014.html
2018-06-11 06:56,2 ESL Vacancies in amazing city,https://brighton.craigslist.co.uk/edu/d/2-esl-vacancies-in-amazing/6613732164.html
2018-06-06 15:16,Romanian language teacher needed in Hove,https://brighton.craigslist.co.uk/edu/d/romanian-language-teacher/6609450624.html
2018-06-06 12:47,German language teacher required in Crawley,https://brighton.craigslist.co.uk/edu/d/german-language-teacher/6609767295.html
2018-06-04 02:20,Kindergarten Teacher,https://brighton.craigslist.co.uk/edu/d/kindergarten-teacher/6596572104.html
2018-06-02 12:54,Make over £750 a month teaching English + Bonuses (PT) -REMOTE-,https://brighton.craigslist.co.uk/edu/d/make-over-750-month-teaching/6605750483.html
2018-06-01 09:37,Volunteer English Teacher in Republic of Georgia,https://brighton.craigslist.co.uk/edu/d/volunteer-english-teacher-in/6604766378.html
2018-07-14 08:24,Primary Schools in Beijing,https://cambridge.craigslist.co.uk/edu/d/primary-schools-in-beijing/6642910619.html
2018-07-09 05:01,❤❤❤WORK AT HOME! QUICK&EASY MONEY!!❤❤ ESL,https://cambridge.craigslist.co.uk/edu/d/work-at-home-quickeasy-money/6638166339.html
2018-07-08 06:34,"ESL Job Opportunity,1 year contract",https://cambridge.craigslist.co.uk/edu/d/esl-job-opportunity1-year/6637438550.html
2018-07-05 12:49,URGENT - SKEGNESS/BOSTON TEFL/English teachers needed for July roles,https://cambridge.craigslist.co.uk/edu/d/urgent-skegness-boston-tefl/6634793683.html
2018-06-22 06:35,Danish language teacher required in Peterborough,https://cambridge.craigslist.co.uk/edu/d/danish-language-teacher/6623675934.html
2018-06-15 13:10,Mandarin Chinese language teacher needed in Bedford,https://cambridge.craigslist.co.uk/edu/d/mandarin-chinese-language/6617592416.html
2018-06-04 02:30,Kindergarten Teacher,https://cambridge.craigslist.co.uk/edu/d/kindergarten-teacher/6596612324.html
2018-06-02 12:51,Make over £750 a month teaching English + Bonuses (PT) -REMOTE-,https://cambridge.craigslist.co.uk/edu/d/make-over-750-month-teaching/6605749172.html
2018-06-01 09:58,Volunteer English Teacher in Republic of Georgia,https://cambridge.craigslist.co.uk/edu/d/volunteer-english-teacher-in/6604768641.html
2018-07-04 10:35,ESL teacher in Cinostar(Beijing/Shanghai/Hangzhou) (China),https://oxford.craigslist.co.uk/edu/d/esl-teacher-in/6608359707.html
2018-06-02 12:48,Make over £750 a month teaching English + Bonuses (PT) -REMOTE-,https://oxford.craigslist.co.uk/edu/d/make-over-750-month-teaching/6605748226.html
2018-07-05 13:52,URGENT - SKEGNESS/BOSTON TEFL/English teachers needed for July roles,https://hampshire.craigslist.co.uk/edu/d/urgent-skegness-boston-tefl/6634808879.html
2018-06-28 15:09,Norwegian language teacher required in Bournemout,https://hampshire.craigslist.co.uk/edu/d/norwegian-language-teacher/6629136502.html
2018-06-04 02:44,Kindergarten Teacher,https://hampshire.craigslist.co.uk/edu/d/kindergarten-teacher/6598434451.html
